userId,tmdbId,rating
1,9909,2.5
1,11360,3.0
1,819,3.0
1,1103,2.0
1,11216,4.0
1,11778,2.0
1,665,2.0
1,783,2.0
1,6114,3.5
1,1598,2.0
1,152,2.5
1,3179,1.0
1,1051,4.0
1,97,4.0
1,8393,3.0
1,847,2.0
1,8916,2.0
1,9426,2.5
1,36819,1.0
1,11072,3.0
2,710,4.0
2,4584,5.0
2,9603,5.0
2,807,4.0
2,629,4.0
2,11448,3.0
2,2054,3.0
2,197,4.0
2,16388,3.0
2,568,5.0
2,414,4.0
2,8963,3.0
2,1572,3.0
2,6520,3.0
2,1642,3.0
2,11472,3.0
2,9804,3.0
2,22625,5.0
2,2292,1.0
2,8984,3.0
2,522,3.0
2,17207,3.0
2,628,4.0
2,9587,4.0
2,18183,5.0
2,4476,5.0
2,11318,3.0
2,3036,4.0
2,6950,3.0
2,680,4.0
2,11450,3.0
2,14334,4.0
2,11395,2.0
2,9905,1.0
2,2064,3.0
2,9331,4.0
2,10731,4.0
2,13,3.0
2,712,3.0
2,8587,3.0
2,854,3.0
2,36593,2.0
2,12280,3.0
2,2788,3.0
2,1637,3.0
2,10395,3.0
2,8011,2.0
2,2758,3.0
2,37233,4.0
2,5503,3.0
2,10612,4.0
2,9386,2.0
2,329,4.0
2,9593,3.0
2,11971,3.0
2,788,4.0
2,9800,4.0
2,713,4.0
2,1245,4.0
2,424,4.0
2,12519,4.0
2,858,3.0
2,10635,3.0
2,9479,5.0
2,10057,3.0
2,9066,5.0
2,771,3.0
2,251,3.0
2,812,3.0
2,280,5.0
2,581,5.0
2,268,5.0
2,274,3.0
2,10112,3.0
2,10539,4.0
2,,4.0
3,11359,3.0
3,197,4.0
3,1024,3.5
3,11008,3.0
3,680,4.5
3,278,5.0
3,888,2.5
3,13,5.0
3,1637,2.5
3,424,3.0
3,812,3.0
3,268,3.0
3,274,3.0
3,10020,2.0
3,664,3.5
3,627,4.0
3,9303,3.0
3,2493,5.0
3,1892,3.0
3,343,4.0
3,1633,3.0
3,11967,4.0
3,607,3.5
3,597,4.5
3,1878,4.0
3,857,4.0
3,10683,4.0
3,8913,3.0
3,9032,3.0
3,10279,3.5
3,620,3.0
3,745,3.5
3,11601,4.0
3,14,4.0
3,550,5.0
3,10406,3.0
3,10559,4.0
3,641,5.0
3,557,3.0
3,1430,3.5
3,12,3.0
3,122,2.5
3,38,3.0
3,1777,3.5
3,558,3.0
3,44756,3.5
3,752,3.5
3,3683,4.5
3,1251,4.5
3,155,3.0
3,34767,4.0
4,710,4.0
4,9598,5.0
4,33542,5.0
4,11000,5.0
4,414,4.0
4,9482,3.0
4,1642,3.0
4,11,5.0
4,9058,4.0
4,680,5.0
4,193,3.0
4,9331,5.0
4,13,5.0
4,712,5.0
4,8587,5.0
4,854,4.0
4,36955,3.0
4,2758,3.0
4,6075,3.0
4,9350,4.0
4,9612,1.0
4,11566,4.0
4,9739,4.0
4,2019,4.0
4,329,5.0
4,78,5.0
4,812,5.0
4,280,5.0
4,581,3.0
4,408,5.0
4,10895,5.0
4,11827,4.0
4,10112,5.0
4,238,5.0
4,426,5.0
4,239,4.0
4,963,5.0
4,630,5.0
4,10869,4.0
4,15944,4.0
4,11224,5.0
4,433,5.0
4,11114,5.0
4,12335,5.0
4,12092,5.0
4,10948,5.0
4,562,5.0
4,252,5.0
4,623,5.0
4,500,5.0
4,601,5.0
4,11843,5.0
4,2756,5.0
4,762,5.0
4,11455,5.0
4,1891,5.0
4,2493,5.0
4,85,5.0
4,679,5.0
4,185,5.0
4,28,5.0
4,1892,5.0
4,769,5.0
4,348,5.0
4,539,5.0
4,525,5.0
4,600,5.0
4,279,5.0
4,703,5.0
4,218,5.0
4,18971,5.0
4,13667,5.0
4,694,5.0
4,235,4.0
4,137,5.0
4,105,5.0
4,3034,5.0
4,756,5.0
4,2640,4.0
4,11031,5.0
4,89,5.0
4,12104,4.0
4,639,4.0
4,32076,4.0
4,8851,5.0
4,11349,5.0
4,199,4.0
4,152,4.0
4,174,3.0
4,154,4.0
4,168,3.0
4,364,3.0
4,621,5.0
4,578,5.0
4,579,4.0
4,2322,5.0
4,330,3.0
4,607,5.0
4,10890,4.0
4,9281,5.0
4,617,1.0
4,10622,5.0
4,95,4.0
4,944,2.0
4,1051,5.0
4,1366,5.0
4,380,5.0
4,13597,3.0
4,2108,5.0
4,609,5.0
4,941,5.0
4,943,3.0
4,927,2.0
4,9340,5.0
4,16084,4.0
4,3170,5.0
4,859,4.0
4,841,4.0
4,10957,4.0
4,9570,4.0
4,10122,5.0
4,9354,3.0
4,1779,5.0
4,9325,5.0
4,10340,5.0
4,10144,4.0
4,12230,5.0
4,13380,5.0
4,10693,5.0
4,14822,5.0
4,10249,4.0
4,10882,5.0
4,2619,5.0
4,53565,5.0
4,97,4.0
4,6471,5.0
4,9442,3.0
4,227,5.0
4,87,5.0
4,2907,4.0
4,11639,5.0
4,4978,4.0
4,11976,4.0
4,15144,5.0
4,34584,5.0
4,4011,5.0
4,847,3.0
4,117,5.0
4,2028,4.0
4,11082,3.0
4,881,5.0
4,10403,5.0
4,14924,4.0
4,9749,4.0
4,1368,4.0
4,9326,5.0
4,1367,4.0
4,11815,5.0
4,192,5.0
4,9540,4.0
4,8592,1.0
4,1893,5.0
4,1924,5.0
4,30168,3.0
4,817,4.0
4,6488,4.0
4,620,5.0
4,9824,5.0
4,11120,4.0
4,11353,1.0
4,9267,5.0
4,813,5.0
4,11153,4.0
4,2280,5.0
4,850,5.0
4,9096,3.0
4,11797,3.0
4,11527,5.0
4,11326,5.0
4,10576,2.0
4,12662,1.0
4,861,4.0
4,9377,5.0
4,36819,5.0
4,5549,3.0
4,856,5.0
4,253,5.0
4,16281,3.0
4,11886,5.0
4,1621,4.0
4,14035,5.0
4,11663,5.0
4,29154,4.0
4,10998,4.0
4,9013,4.0
4,177,5.0
4,26578,4.0
4,9644,2.0
4,13342,4.0
4,24735,5.0
4,11287,4.0
4,10158,3.0
4,11782,5.0
4,1857,2.0
5,15602,4.0
5,9603,4.0
5,9614,4.0
5,11000,4.0
5,568,4.0
5,8467,3.5
5,10510,4.5
5,3049,3.5
5,13,4.0
5,8587,4.0
5,854,4.0
5,1637,4.0
5,11566,4.0
5,788,4.5
5,771,4.0
5,812,3.5
5,10020,4.0
5,114,5.0
5,9327,3.5
5,238,2.5
5,426,3.5
5,630,4.0
5,11224,4.0
5,15121,5.0
5,510,3.0
5,240,2.5
5,37247,4.0
5,639,4.0
5,621,5.0
5,9390,3.5
5,1624,4.5
5,330,3.5
5,37165,4.0
5,597,4.0
5,11003,4.0
5,2898,4.5
5,544,4.5
5,380,4.0
5,2108,4.0
5,9552,3.5
5,242,1.5
5,10144,5.0
5,2109,4.0
5,8916,4.0
5,9487,3.5
5,9489,4.0
5,1542,3.5
5,817,4.0
5,9032,4.5
5,2105,4.0
5,745,3.5
5,11353,3.5
5,9377,3.5
5,492,3.5
5,863,3.5
5,1213,3.5
5,462,4.0
5,2024,3.5
5,786,4.5
5,1597,3.5
5,392,4.0
5,3981,4.0
5,8358,3.5
5,1493,4.5
5,808,3.5
5,824,3.5
5,8835,4.5
5,2770,3.5
5,161,3.0
5,453,4.5
5,4547,3.5
5,8346,4.5
5,557,4.5
5,4147,4.0
5,1430,3.5
5,565,4.5
5,672,3.0
5,423,4.0
5,455,3.5
5,310,4.0
5,12,4.0
5,170,4.0
5,153,2.5
5,508,4.0
5,8193,4.0
5,9372,4.0
5,1777,3.5
5,558,4.5
5,2048,4.0
5,70,4.5
5,205,4.5
5,118,3.5
5,1640,5.0
5,787,4.0
5,9522,4.5
5,6957,4.0
5,69,4.5
5,411,4.0
5,254,4.0
5,496,4.5
6,103,4.0
6,8839,2.0
6,9482,2.0
6,101,5.0
6,10895,4.0
6,426,4.0
6,947,5.0
6,826,4.5
6,235,4.5
6,903,4.5
6,2640,4.5
6,12498,2.0
6,2255,2.0
6,4824,2.0
6,586,2.0
6,8656,0.5
6,846,3.0
6,942,3.0
6,346,4.0
6,11974,4.0
6,4011,4.0
6,1542,3.5
6,10803,3.0
6,871,4.0
6,603,1.0
6,36685,2.0
6,104,4.0
6,9824,3.0
6,10386,4.5
6,6415,3.0
6,1832,1.0
6,863,4.0
6,2787,3.5
6,7443,1.5
6,1548,1.5
6,1903,1.5
6,121,5.0
6,79,3.0
6,122,5.0
6,38,4.0
6,673,3.5
6,558,4.0
6,401,3.0
6,747,4.5
7,862,3.0
7,710,3.0
7,8012,3.0
7,9909,3.0
7,9598,4.0
7,34615,4.0
7,9614,3.0
7,197,5.0
7,33542,4.0
7,11000,4.0
7,11780,4.0
7,281,2.0
7,9560,3.0
7,11,5.0
7,11318,3.0
7,2164,2.0
7,278,5.0
7,193,3.0
7,11381,3.0
7,2759,3.0
7,888,3.0
7,13,3.0
7,712,3.0
7,8587,3.0
7,854,3.0
7,1637,3.0
7,36955,4.0
7,329,4.0
7,788,3.0
7,10445,4.0
7,858,3.0
7,78,4.0
7,9479,4.0
7,812,4.0
7,280,3.0
7,581,4.0
7,268,3.0
7,408,4.0
7,10020,3.0
7,11827,3.0
7,3065,4.0
7,8866,3.0
7,,5.0
7,9100,2.0
7,664,1.0
7,11867,1.0
7,532,5.0
7,602,3.0
7,9268,2.0
7,62,4.0
7,562,3.0
7,252,3.0
7,623,4.0
7,583,4.0
7,601,3.0
7,11843,3.0
7,1103,3.0
7,762,4.0
7,531,5.0
7,1891,5.0
7,2493,3.0
7,85,5.0
7,1892,5.0
7,525,4.0
7,530,5.0
7,279,5.0
7,9549,4.0
7,218,4.0
7,9665,5.0
7,105,3.0
7,8009,4.0
7,3034,3.0
7,665,4.0
7,11031,4.0
7,89,3.0
7,12104,3.0
7,2323,4.0
7,639,3.0
7,25189,3.0
7,152,3.0
7,174,3.0
7,172,2.0
7,154,4.0
7,157,3.0
7,168,3.0
7,378,3.0
7,3179,5.0
7,9361,1.0
8,63,5.0
8,577,2.5
8,807,5.0
8,629,5.0
8,197,4.0
8,11,3.5
8,1945,2.0
8,680,4.0
8,278,5.0
8,13,4.0
8,5503,4.5
8,8005,3.5
8,14534,2.0
8,424,5.0
8,10442,5.0
8,280,4.0
8,274,4.5
8,1592,4.0
8,1645,3.5
8,238,5.0
8,1891,3.5
8,2493,4.0
8,85,4.0
8,1892,4.0
8,539,4.0
8,279,4.0
8,694,4.0
8,235,4.0
8,137,3.0
8,105,4.0
8,89,4.0
8,2323,3.5
8,12498,0.5
8,578,4.0
8,9390,3.0
8,9434,4.0
8,1701,3.0
8,2118,3.5
8,2649,5.0
8,9281,4.0
8,489,4.0
8,9411,3.0
8,11003,5.0
8,8656,3.5
8,380,5.0
8,857,4.0
8,2619,3.0
8,11704,3.0
8,117,4.5
8,10377,4.5
8,637,4.0
8,73,5.0
8,9798,3.5
8,5825,3.5
